gene,folds_selected,in_final_50,consensus_status
FBXL7,2,False,ML_2of3_only
FGF12,2,False,ML_2of3_only
FGF2,2,False,ML_2of3_only
FHL2,2,False,ML_2of3_only
FOLR1,2,False,ML_2of3_only
FOXA1,2,False,ML_2of3_only
FOXD3-AS1,2,False,ML_2of3_only
GADD45G,2,False,ML_2of3_only
GALC,2,False,ML_2of3_only
GALNT1,2,False,ML_2of3_only
GCSH,2,False,ML_2of3_only
GGA2,2,False,ML_2of3_only
GLCE,2,False,ML_2of3_only
GLRX5,2,False,ML_2of3_only
GPER1,2,False,ML_2of3_only
GPR27,2,False,ML_2of3_only
GRIA2,2,False,ML_2of3_only
GRIA3,2,False,ML_2of3_only
GTF2I,2,False,ML_2of3_only
H2BC21,2,False,ML_2of3_only
H2BC5,2,False,ML_2of3_only
HACD3,2,False,ML_2of3_only
HAPLN2,2,False,ML_2of3_only
HAUS1,2,False,ML_2of3_only
HDAC9,2,False,ML_2of3_only
HDC,2,False,ML_2of3_only
HEBP1,2,False,ML_2of3_only
HELLPAR,2,False,ML_2of3_only
HINT2,2,False,ML_2of3_only
HOPX,2,False,ML_2of3_only
HOXB2,2,False,ML_2of3_only
HOXB5,2,False,ML_2of3_only
HOXB8,2,False,ML_2of3_only
HSD17B14,2,False,ML_2of3_only
IDH3A,2,False,ML_2of3_only
IDNK,2,False,ML_2of3_only
IGF1R,2,False,ML_2of3_only
IGFBP4,2,False,ML_2of3_only
IGFBP6,2,False,ML_2of3_only
IGHG4,2,False,ML_2of3_only
IGSF21,2,False,ML_2of3_only
IGSF9,2,False,ML_2of3_only
IL32,2,False,ML_2of3_only
ING2,2,False,ML_2of3_only
IRF2BPL,2,False,ML_2of3_only
ISOC1,2,False,ML_2of3_only
ISOC2,2,False,ML_2of3_only
ITM2B,2,False,ML_2of3_only
ITPK1,2,False,ML_2of3_only
KCNC2,2,False,ML_2of3_only
KIF12,2,False,ML_2of3_only
KLHL5,2,False,ML_2of3_only
KRT222,2,False,ML_2of3_only
KRT7,2,False,ML_2of3_only
LAMB3,2,False,ML_2of3_only
LASP1,2,False,ML_2of3_only
LDOC1,2,False,ML_2of3_only
LERFS,2,False,ML_2of3_only
LINC00173,2,False,ML_2of3_only
LINGO1,2,False,ML_2of3_only
LRATD1,2,False,ML_2of3_only
LRP1B,2,False,ML_2of3_only
LRRC24,2,False,ML_2of3_only
LRRC4C,2,False,ML_2of3_only
LRTM1,2,False,ML_2of3_only
LY6G6C,2,False,ML_2of3_only
LY6K,2,False,ML_2of3_only
MAFB,2,False,ML_2of3_only
MAGEA12,2,False,ML_2of3_only
MAGED2,2,False,ML_2of3_only
MAGI2,2,False,ML_2of3_only
MARCHF6,2,False,ML_2of3_only
MAST4,2,False,ML_2of3_only
MDH1,2,False,ML_2of3_only
MDK,2,False,ML_2of3_only
MEA1,2,False,ML_2of3_only
METRN,2,False,ML_2of3_only
MLLT11,2,False,ML_2of3_only
MORF4L2,2,False,ML_2of3_only
MRFAP1,2,False,ML_2of3_only
MRFAP1L1,2,False,ML_2of3_only
MRPL21,2,False,ML_2of3_only
MT-ATP6,2,False,ML_2of3_only
MT1G,2,False,ML_2of3_only
MT1M,2,False,ML_2of3_only
MYBL2,2,False,ML_2of3_only
MYO3B,2,False,ML_2of3_only
MZT2A,2,False,ML_2of3_only
NDRG2,2,False,ML_2of3_only
NDUFAF3,2,False,ML_2of3_only
NDUFAF8,2,False,ML_2of3_only
NEAT1,2,False,ML_2of3_only
NECAB1,2,False,ML_2of3_only
NECAB3,2,False,ML_2of3_only
NEFH,2,False,ML_2of3_only
NELL2,2,False,ML_2of3_only
NENF,2,False,ML_2of3_only
NFASC,2,False,ML_2of3_only
NFATC4,2,False,ML_2of3_only
NFIX,2,False,ML_2of3_only
NFKBIZ,2,False,ML_2of3_only
NKD2,2,False,ML_2of3_only
NME2,2,False,ML_2of3_only
NORAD,2,False,ML_2of3_only
NQO1,2,False,ML_2of3_only
NRIP3,2,False,ML_2of3_only
NRXN3,2,False,ML_2of3_only
NXPH3,2,False,ML_2of3_only
OCEL1,2,False,ML_2of3_only
OLFML3,2,False,ML_2of3_only
PAFAH1B3,2,False,ML_2of3_only
PAQR5,2,False,ML_2of3_only
PART1,2,False,ML_2of3_only
PBX1,2,False,ML_2of3_only
PCLO,2,False,ML_2of3_only
PCMTD1,2,False,ML_2of3_only
PCMTD2,2,False,ML_2of3_only
PDE4DIP,2,False,ML_2of3_only
PDGFD,2,False,ML_2of3_only
PDRG1,2,False,ML_2of3_only
PDZK1,2,False,ML_2of3_only
PDZK1IP1,2,False,ML_2of3_only
PHF14,2,False,ML_2of3_only
PHPT1,2,False,ML_2of3_only
PIK3R1,2,False,ML_2of3_only
PITX1,2,False,ML_2of3_only
PLAAT3,2,False,ML_2of3_only
PLBD1,2,False,ML_2of3_only
PLCXD3,2,False,ML_2of3_only
PNPLA4,2,False,ML_2of3_only
POLR2L,2,False,ML_2of3_only
PPP1CA,2,False,ML_2of3_only
PPP1R14D,2,False,ML_2of3_only
PPP1R3C,2,False,ML_2of3_only
PRDX2,2,False,ML_2of3_only
PRKAR1A,2,False,ML_2of3_only
PRLR,2,False,ML_2of3_only
PSIP1,2,False,ML_2of3_only
PTGER3,2,False,ML_2of3_only
PTHLH,2,False,ML_2of3_only
PTMS,2,False,ML_2of3_only
PYGL,2,False,ML_2of3_only
RAB32,2,False,ML_2of3_only
RBBP7,2,False,ML_2of3_only
RBM24,2,False,ML_2of3_only
RBP1,2,False,ML_2of3_only
RBP5,2,False,ML_2of3_only
RBP7,2,False,ML_2of3_only
RERG,2,False,ML_2of3_only
RGS16,2,False,ML_2of3_only
RHBDD2,2,False,ML_2of3_only
RNF139,2,False,ML_2of3_only
RPL36,2,False,ML_2of3_only
RPL36A,2,False,ML_2of3_only
RPS29,2,False,ML_2of3_only
RSBN1L,2,False,ML_2of3_only
RTBDN,2,False,ML_2of3_only
RTN2,2,False,ML_2of3_only
RTN3,2,False,ML_2of3_only
RUNDC3A,2,False,ML_2of3_only
RUNX1,2,False,ML_2of3_only
RWDD4,2,False,ML_2of3_only
S100A11,2,False,ML_2of3_only
S100A16,2,False,ML_2of3_only
S100G,2,False,ML_2of3_only
SAC3D1,2,False,ML_2of3_only
SCD,2,False,ML_2of3_only
SCRT1,2,False,ML_2of3_only
SDHB,2,False,ML_2of3_only
SEC11C,2,False,ML_2of3_only
SELENOW,2,False,ML_2of3_only
SEPTIN8,2,False,ML_2of3_only
SERPINA5,2,False,ML_2of3_only
SERPINI1,2,False,ML_2of3_only
SGPP2,2,False,ML_2of3_only
SH3BGRL3,2,False,ML_2of3_only
SH3KBP1,2,False,ML_2of3_only
SIX2,2,False,ML_2of3_only
SKIL,2,False,ML_2of3_only
SLC27A2,2,False,ML_2of3_only
SLC2A10,2,False,ML_2of3_only
SLC35B1,2,False,ML_2of3_only
SLC39A6,2,False,ML_2of3_only
SNHG8,2,False,ML_2of3_only
SNX10,2,False,ML_2of3_only
SOWAHA,2,False,ML_2of3_only
SPARC,2,False,ML_2of3_only
SPATA20,2,False,ML_2of3_only
SPATA5,2,False,ML_2of3_only
SPCS1,2,False,ML_2of3_only
SPDYC,2,False,ML_2of3_only
SPESP1,2,False,ML_2of3_only
SRI,2,False,ML_2of3_only
ST6GALNAC5,2,False,ML_2of3_only
STAU2,2,False,ML_2of3_only
STC1,2,False,ML_2of3_only
STMN1,2,False,ML_2of3_only
STRBP,2,False,ML_2of3_only
SUMO2,2,False,ML_2of3_only
SUSD3,2,False,ML_2of3_only
SYAP1,2,False,ML_2of3_only
SYT13,2,False,ML_2of3_only
TAF1D,2,False,ML_2of3_only
TCEAL1,2,False,ML_2of3_only
TCTA,2,False,ML_2of3_only
TESMIN,2,False,ML_2of3_only
TEX264,2,False,ML_2of3_only
THSD4,2,False,ML_2of3_only
TIMP4,2,False,ML_2of3_only
TMED2,2,False,ML_2of3_only
TMEM108,2,False,ML_2of3_only
TMEM134,2,False,ML_2of3_only
TMEM145,2,False,ML_2of3_only
TMEM14A,2,False,ML_2of3_only
TMEM14B,2,False,ML_2of3_only
TMEM150C,2,False,ML_2of3_only
TMEM213,2,False,ML_2of3_only
TMEM265,2,False,ML_2of3_only
TMEM64,2,False,ML_2of3_only
TMEM92,2,False,ML_2of3_only
TNFRSF12A,2,False,ML_2of3_only
TNNT1,2,False,ML_2of3_only
TOMM6,2,False,ML_2of3_only
TP53TG1,2,False,ML_2of3_only
TPD52L1,2,False,ML_2of3_only
TRH,2,False,ML_2of3_only
TRMT112,2,False,ML_2of3_only
TRUB1,2,False,ML_2of3_only
TSPAN13,2,False,ML_2of3_only
TXNIP,2,False,ML_2of3_only
TYRP1,2,False,ML_2of3_only
USP32,2,False,ML_2of3_only
VAMP8,2,False,ML_2of3_only
VAV3,2,False,ML_2of3_only
VTN,2,False,ML_2of3_only
VWA1,2,False,ML_2of3_only
WASF2,2,False,ML_2of3_only
WASHC3,2,False,ML_2of3_only
WDR72,2,False,ML_2of3_only
WWOX,2,False,ML_2of3_only
YBX3,2,False,ML_2of3_only
YIF1A,2,False,ML_2of3_only
YIPF3,2,False,ML_2of3_only
YWHAQ,2,False,ML_2of3_only
ZBTB20,2,False,ML_2of3_only
ZNF385D,2,False,ML_2of3_only
COX11,1,True,Weak_ML_support
COX7A2L,1,True,Weak_ML_support
IDH2,1,True,Weak_ML_support
MRPL12,1,True,Weak_ML_support
MRPL40,1,True,Weak_ML_support
MRPS12,1,True,Weak_ML_support
NDUFA6,1,True,Weak_ML_support
NDUFV1,1,True,Weak_ML_support
SELENOT,1,True,Weak_ML_support
ABHD12,1,False,ML_1of3_only
ABHD14B,1,False,ML_1of3_only
ABHD2,1,False,ML_1of3_only
AC008268.1,1,False,ML_1of3_only
AC061961.1,1,False,ML_1of3_only
AC110619.1,1,False,ML_1of3_only
ACADVL,1,False,ML_1of3_only
ACE,1,False,ML_1of3_only
ACTN2,1,False,ML_1of3_only
ADCY1,1,False,ML_1of3_only
ADI1,1,False,ML_1of3_only
ADIPOR2,1,False,ML_1of3_only
ADIRF,1,False,ML_1of3_only
ADM,1,False,ML_1of3_only
AFTPH,1,False,ML_1of3_only
AGR2,1,False,ML_1of3_only
AGR3,1,False,ML_1of3_only
AK4,1,False,ML_1of3_only
ALDH3B2,1,False,ML_1of3_only
ANGPTL1,1,False,ML_1of3_only
ANK1,1,False,ML_1of3_only
ANKRD11,1,False,ML_1of3_only
ANXA3,1,False,ML_1of3_only
AP1S2,1,False,ML_1of3_only
AP2B1,1,False,ML_1of3_only
AP2S1,1,False,ML_1of3_only
AP3S1,1,False,ML_1of3_only
APRT,1,False,ML_1of3_only
ARF3,1,False,ML_1of3_only
ARHGAP29,1,False,ML_1of3_only
ARHGDIB,1,False,ML_1of3_only
ARID5B,1,False,ML_1of3_only
ARL4D,1,False,ML_1of3_only
ARPC1B,1,False,ML_1of3_only
ARSD,1,False,ML_1of3_only
ATP1B1,1,False,ML_1of3_only
ATP5F1D,1,False,ML_1of3_only
ATP5MC2,1,False,ML_1of3_only
ATP5MD,1,False,ML_1of3_only
ATP5ME,1,False,ML_1of3_only
ATP5MPL,1,False,ML_1of3_only
ATP6V1G1,1,False,ML_1of3_only
AZGP1,1,False,ML_1of3_only
BAG3,1,False,ML_1of3_only
BATF,1,False,ML_1of3_only
BCAM,1,False,ML_1of3_only
BEX4,1,False,ML_1of3_only
BLVRA,1,False,ML_1of3_only
BLVRB,1,False,ML_1of3_only
BRD2,1,False,ML_1of3_only
BST2,1,False,ML_1of3_only
BTF3,1,False,ML_1of3_only
BTG2,1,False,ML_1of3_only
C11orf58,1,False,ML_1of3_only
C12orf57,1,False,ML_1of3_only
C15orf61,1,False,ML_1of3_only
C1orf115,1,False,ML_1of3_only
C3orf14,1,False,ML_1of3_only
C7orf50,1,False,ML_1of3_only
CA12,1,False,ML_1of3_only
CALM3,1,False,ML_1of3_only
CALY,1,False,ML_1of3_only
CAP2,1,False,ML_1of3_only
CCDC115,1,False,ML_1of3_only
CCDC151,1,False,ML_1of3_only
CCDC34,1,False,ML_1of3_only
CCDC85B,1,False,ML_1of3_only
CCN1,1,False,ML_1of3_only
CCND1,1,False,ML_1of3_only
CD24,1,False,ML_1of3_only
CD40,1,False,ML_1of3_only
CD81,1,False,ML_1of3_only
CD99,1,False,ML_1of3_only
CDH1,1,False,ML_1of3_only
CDKN1C,1,False,ML_1of3_only
CDS2,1,False,ML_1of3_only
CEACAM5,1,False,ML_1of3_only
CENPX,1,False,ML_1of3_only
CERS2,1,False,ML_1of3_only
CFB,1,False,ML_1of3_only
CHI3L1,1,False,ML_1of3_only
CHPF,1,False,ML_1of3_only
CHST8,1,False,ML_1of3_only
CITED4,1,False,ML_1of3_only
CLPTM1,1,False,ML_1of3_only
CLTC,1,False,ML_1of3_only
CMTM8,1,False,ML_1of3_only
CNPY3,1,False,ML_1of3_only
COA1,1,False,ML_1of3_only
COA3,1,False,ML_1of3_only
COL12A1,1,False,ML_1of3_only
COMT,1,False,ML_1of3_only
COMTD1,1,False,ML_1of3_only
COPZ2,1,False,ML_1of3_only
COX6C,1,False,ML_1of3_only
COX7C,1,False,ML_1of3_only
CPD,1,False,ML_1of3_only
CRIP1,1,False,ML_1of3_only
CRNDE,1,False,ML_1of3_only
CTPS2,1,False,ML_1of3_only
CTSB,1,False,ML_1of3_only
CTSZ,1,False,ML_1of3_only
CXXC5,1,False,ML_1of3_only
CYB5A,1,False,ML_1of3_only
CYBA,1,False,ML_1of3_only
CYP4X1,1,False,ML_1of3_only
DCAF7,1,False,ML_1of3_only
DCTN3,1,False,ML_1of3_only
DCXR,1,False,ML_1of3_only
DDIT4,1,False,ML_1of3_only
DDRGK1,1,False,ML_1of3_only
DDT,1,False,ML_1of3_only
DDX42,1,False,ML_1of3_only
DEDD2,1,False,ML_1of3_only
DEGS2,1,False,ML_1of3_only
DMAC1,1,False,ML_1of3_only
DNAJA1,1,False,ML_1of3_only
DNAJB1,1,False,ML_1of3_only
DNAJC3,1,False,ML_1of3_only
DRAP1,1,False,ML_1of3_only
DSP,1,False,ML_1of3_only
DUBR,1,False,ML_1of3_only
DUSP4,1,False,ML_1of3_only
EGFL7,1,False,ML_1of3_only
EGR1,1,False,ML_1of3_only
EHF,1,False,ML_1of3_only
EIF1AX,1,False,ML_1of3_only
EIF2AK1,1,False,ML_1of3_only
EIF3K,1,False,ML_1of3_only
EIF4A1,1,False,ML_1of3_only
ELP5,1,False,ML_1of3_only
EMC10,1,False,ML_1of3_only
EMID1,1,False,ML_1of3_only
ENO1,1,False,ML_1of3_only
EPHX1,1,False,ML_1of3_only
ERBB3,1,False,ML_1of3_only
ERGIC1,1,False,ML_1of3_only
ERLEC1,1,False,ML_1of3_only
ERP29,1,False,ML_1of3_only
EXOSC3,1,False,ML_1of3_only
FAM102A,1,False,ML_1of3_only
FAM162A,1,False,ML_1of3_only
FAM89B,1,False,ML_1of3_only
FBLN1,1,False,ML_1of3_only
FBP1,1,False,ML_1of3_only
FCRLB,1,False,ML_1of3_only
FGFR1,1,False,ML_1of3_only
FLYWCH2,1,False,ML_1of3_only
FOSB,1,False,ML_1of3_only
FRMD3,1,False,ML_1of3_only
FSIP1,1,False,ML_1of3_only
FSTL3,1,False,ML_1of3_only
FXYD5,1,False,ML_1of3_only
GADD45B,1,False,ML_1of3_only
GADD45GIP1,1,False,ML_1of3_only
GALNT6,1,False,ML_1of3_only
GAMT,1,False,ML_1of3_only
GAS2L1,1,False,ML_1of3_only
GAS5,1,False,ML_1of3_only
GATM,1,False,ML_1of3_only
GHITM,1,False,ML_1of3_only
GJB1,1,False,ML_1of3_only
GNAS,1,False,ML_1of3_only
GNG10,1,False,ML_1of3_only
GNS,1,False,ML_1of3_only
GOLGB1,1,False,ML_1of3_only
GOLM1,1,False,ML_1of3_only
GOLM2,1,False,ML_1of3_only
GOT2,1,False,ML_1of3_only
GPAA1,1,False,ML_1of3_only
GPRC5C,1,False,ML_1of3_only
GPRIN3,1,False,ML_1of3_only
GPX4,1,False,ML_1of3_only
GREB1,1,False,ML_1of3_only
GRN,1,False,ML_1of3_only
GSTM3,1,False,ML_1of3_only
GSTP1,1,False,ML_1of3_only
GTF3A,1,False,ML_1of3_only
H2AC6,1,False,ML_1of3_only
H2AW,1,False,ML_1of3_only
H3-3B,1,False,ML_1of3_only
HAGH,1,False,ML_1of3_only
HDGFL3,1,False,ML_1of3_only
HDLBP,1,False,ML_1of3_only
HES4,1,False,ML_1of3_only
HID1,1,False,ML_1of3_only
HLA-B,1,False,ML_1of3_only
HLA-C,1,False,ML_1of3_only
HMGA1,1,False,ML_1of3_only
HMGCS1,1,False,ML_1of3_only
HMGCS2,1,False,ML_1of3_only
HOXB-AS3,1,False,ML_1of3_only
HOXB3,1,False,ML_1of3_only
HOXB6,1,False,ML_1of3_only
HOXB7,1,False,ML_1of3_only
HOXC10,1,False,ML_1of3_only
HOXC6,1,False,ML_1of3_only
HOXC8,1,False,ML_1of3_only
HOXD-AS2,1,False,ML_1of3_only
HOXD8,1,False,ML_1of3_only
HSD17B11,1,False,ML_1of3_only
HSP90AA1,1,False,ML_1of3_only
HSPA8,1,False,ML_1of3_only
HSPB1,1,False,ML_1of3_only
HSPB8,1,False,ML_1of3_only
HSPH1,1,False,ML_1of3_only
IER5,1,False,ML_1of3_only
IFI27,1,False,ML_1of3_only
IFI27L1,1,False,ML_1of3_only
IFI6,1,False,ML_1of3_only
IFITM2,1,False,ML_1of3_only
IRS2,1,False,ML_1of3_only
IRX5,1,False,ML_1of3_only
ISG20,1,False,ML_1of3_only
ITGB6,1,False,ML_1of3_only
JOSD2,1,False,ML_1of3_only
JUND,1,False,ML_1of3_only
KAZALD1,1,False,ML_1of3_only
KCNK15,1,False,ML_1of3_only
KCNK6,1,False,ML_1of3_only
KCNQ1OT1,1,False,ML_1of3_only
KCTD6,1,False,ML_1of3_only
KLF2,1,False,ML_1of3_only
KRT19,1,False,ML_1of3_only
KRT8,1,False,ML_1of3_only
LAPTM4B,1,False,ML_1of3_only
LDLRAD4,1,False,ML_1of3_only
LGALS12,1,False,ML_1of3_only
LGALS3,1,False,ML_1of3_only
LGALS3BP,1,False,ML_1of3_only
LGR4,1,False,ML_1of3_only
LIG3,1,False,ML_1of3_only
LINC02802,1,False,ML_1of3_only
LLGL2,1,False,ML_1of3_only
LRP4,1,False,ML_1of3_only
LRRC49,1,False,ML_1of3_only
LRTM2,1,False,ML_1of3_only
LY6E,1,False,ML_1of3_only
MAD1L1,1,False,ML_1of3_only
MAP1LC3B,1,False,ML_1of3_only
MAP4K3-DT,1,False,ML_1of3_only
MCF2L,1,False,ML_1of3_only
MCRIP2,1,False,ML_1of3_only
MCTS1,1,False,ML_1of3_only
MED13L,1,False,ML_1of3_only
METTL7A,1,False,ML_1of3_only
MGLL,1,False,ML_1of3_only
MGP,1,False,ML_1of3_only
MGST1,1,False,ML_1of3_only
MICOS10,1,False,ML_1of3_only
MIEN1,1,False,ML_1of3_only
MIF,1,False,ML_1of3_only
MLF2,1,False,ML_1of3_only
MRPL11,1,False,ML_1of3_only
MRPL24,1,False,ML_1of3_only
