integrated_rank,gene,final_integrated_score,final_tier,adjusted_biomarker_score,biomarker_score,avg_log2FC,absolute_log2FC,pct.1,pct.2,prevalence_difference,mean_sample_prevalence,minimum_sample_prevalence,maximum_sample_prevalence,consistency_category,sample_consistency_score,specificity_score,prevalence_score,significance_score,high_priority,robust_3sample,final_biological_category,biological_class,GO_BP_support,GO_CC_support,GO_MF_support,KEGG_support,pathway_support,epithelial_relevance,proliferation_relevance,mitochondrial_relevance,stress_relevance,metabolic_flag,biological_review_flag,strong_candidate,strong_3sample,review_category,final_review_status,pathway_support_score,biological_relevance_score,consistency_penalty,review_penalty,final_biological_score,tumor_priority_score,OXPHOS_priority_score,final_panel_rank,final_review_class,ML_folds_selected,ML_support,consensus_status
150,MRPS23,0.62772308889957,Tier_3_Other,0.685067597800949,0.685067597800949,1.09654078240759,1.09654078240759,0.655,0.32,0.335,0.66906696311328,0.518105849582173,0.841726618705036,Consistent_3_of_3,1,0.335,0.655,1.0,True,True,Other_Candidate,Other_Candidate,True,True,True,False,True,False,False,False,False,,Standard_candidate,True,True,Other_Research_Candidate,Standard,4,0.49701351956019,0,0,0.49701351956019,0.687773659230332,0.816520279340285,21,Other_Research_Candidate,2,Moderate_ML_support,Moderate_consensus
36,UQCR10,0.68245030629408,Tier_2_OXPHOS,0.685026324311889,0.685026324311889,0.837010594495108,0.837010594495108,0.964,0.776,0.188,0.964983052408682,0.936842105263158,0.983286908077994,Consistent_3_of_3,1,0.188,0.964,1.0,False,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.497005264862378,0,0,0.497005264862378,0.720159213509161,0.878307897293567,22,Mitochondrial_OXPHOS,2,Moderate_ML_support,Moderate_consensus
29,NDUFB7,0.689624893148779,Tier_2_OXPHOS,0.684980285276756,0.684980285276756,0.74224228221405,0.74224228221405,0.931,0.651,0.28,0.931520427991282,0.928947368421053,0.935251798561151,Consistent_3_of_3,1,0.28,0.931,1.0,False,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.496996057055351,0,0,0.496996057055351,0.731943099846865,0.871694085583027,23,Mitochondrial_OXPHOS,2,Moderate_ML_support,Moderate_consensus
89,MRPL27,0.651602935560356,Tier_3_Other,0.684215857260936,0.684215857260936,0.899326858087485,0.899326858087485,0.785,0.461,0.324,0.793042803698692,0.735376044568245,0.888489208633094,Consistent_3_of_3,1,0.324,0.785,1.0,False,True,Other_Candidate,Other_Candidate,True,True,True,False,True,False,False,False,False,,Standard_candidate,True,True,Other_Research_Candidate,Standard,4,0.496843171452187,0,0,0.496843171452187,0.711275550041328,0.842264757178281,24,Other_Research_Candidate,2,Moderate_ML_support,Moderate_consensus
34,NDUFB9,0.683514994591374,Tier_2_OXPHOS,0.682063756237649,0.682063756237649,0.787710049901196,0.787710049901196,0.97,0.772,0.198,0.969924362518488,0.955263157894737,0.983286908077994,Consistent_3_of_3,1,0.198,0.97,1.0,False,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.49641275124753,0,0,0.49641275124753,0.722322314683177,0.878619126871295,25,Mitochondrial_OXPHOS,2,Moderate_ML_support,Moderate_consensus
31,NDUFB10,0.684466735445208,Tier_2_OXPHOS,0.681885747721626,0.681885747721626,0.751085981773012,0.751085981773012,0.925,0.66,0.265,0.924405445589284,0.899721448467967,0.952631578947368,Consistent_3_of_3,1,0.265,0.925,1.0,False,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.496377149544325,0,0,0.496377149544325,0.726660011702569,0.869565724316488,26,Mitochondrial_OXPHOS,2,Moderate_ML_support,Moderate_consensus
105,MRPS26,0.647450135427186,Tier_3_Other,0.681855674749395,0.681855674749395,0.89964539799516,0.89964539799516,0.764,0.431,0.333,0.774430477608823,0.707520891364902,0.892086330935252,Consistent_3_of_3,1,0.333,0.764,1.0,False,True,Other_Candidate,Other_Candidate,True,True,True,False,True,False,False,False,False,,Standard_candidate,True,True,Other_Research_Candidate,Standard,4,0.496371134949879,0,0,0.496371134949879,0.708049486162288,0.837356702424819,27,Other_Research_Candidate,2,Moderate_ML_support,Moderate_consensus
124,MRPS12,0.640412242256878,Tier_3_Other,0.681605864328952,0.681605864328952,0.964846914631618,0.964846914631618,0.752,0.449,0.303,0.729961007004395,0.489208633093525,0.878947368421053,Consistent_3_of_3,1,0.303,0.752,1.0,False,True,Other_Candidate,Other_Candidate,True,True,True,False,True,False,False,False,False,,Standard_candidate,True,True,Other_Research_Candidate,Standard,4,0.49632117286579,0,0,0.49632117286579,0.699562052515133,0.834881759298686,28,Other_Research_Candidate,1,Weak_ML_support,Weak_ML_support
45,UQCRH,0.675785282088052,Tier_2_OXPHOS,0.679926562090905,0.679926562090905,0.841012496727239,0.841012496727239,0.971,0.818,0.153,0.970596605840969,0.956834532374101,0.994428969359331,Consistent_3_of_3,1,0.153,0.971,1.0,False,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.495985312418181,0,0,0.495985312418181,0.712774296731817,0.878177968627271,29,Mitochondrial_OXPHOS,2,Moderate_ML_support,Moderate_consensus
144,MRPL12,0.629858792246829,Tier_3_Other,0.678882179912325,0.678882179912325,1.0118574392986,1.0118574392986,0.7,0.388,0.312,0.682098326616525,0.492805755395683,0.823684210526316,Consistent_3_of_3,1,0.312,0.7,1.0,True,True,Other_Candidate,Other_Candidate,True,True,True,False,True,False,False,False,False,,Standard_candidate,True,True,Other_Research_Candidate,Standard,4,0.495776435982465,0,0,0.495776435982465,0.690008762969314,0.823664653973698,30,Other_Research_Candidate,1,Weak_ML_support,Weak_ML_support
114,SELENOT,0.644162772240566,Tier_3_Other,0.677440091866903,0.677440091866903,0.888320734935225,0.888320734935225,0.792,0.502,0.29,0.773878577829717,0.58273381294964,0.892105263157895,Consistent_3_of_3,1,0.29,0.792,1.0,False,True,Other_Candidate,Other_Candidate,True,True,True,False,True,False,False,False,False,,Standard_candidate,True,True,Other_Research_Candidate,Standard,4,0.495488018373381,0,0,0.495488018373381,0.703504032153416,0.841632027560071,31,Other_Research_Candidate,1,Weak_ML_support,Weak_ML_support
94,NDUFS2,0.650355760092151,Tier_2_OXPHOS,0.676793320495267,0.676793320495267,0.956746563962134,0.956746563962134,0.761,0.486,0.275,0.756159142470513,0.683453237410072,0.871866295264624,Consistent_3_of_3,1,0.275,0.761,1.0,False,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.495358664099053,0,0,0.495358664099053,0.694077662173343,0.83523799614858,32,Mitochondrial_OXPHOS,2,Moderate_ML_support,Moderate_consensus
74,NDUFA12,0.66182174262231,Tier_2_OXPHOS,0.67501065194601,0.67501065194601,0.822485215568076,0.822485215568076,0.785,0.459,0.326,0.776931851381525,0.690647482014389,0.821727019498607,Consistent_3_of_3,1,0.326,0.785,1.0,False,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.495002130389202,0,0,0.495002130389202,0.708453728181104,0.839503195583803,33,Mitochondrial_OXPHOS,2,Moderate_ML_support,Moderate_consensus
49,NDUFA1,0.675077224677425,Tier_2_OXPHOS,0.67348070392601,0.67348070392601,0.735045631408079,0.735045631408079,0.926,0.694,0.232,0.926038345397571,0.902631578947368,0.958217270194986,Consistent_3_of_3,1,0.232,0.926,1.0,False,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.494696140785202,0,0,0.494696140785202,0.717318246374104,0.867244211177803,34,Mitochondrial_OXPHOS,2,Moderate_ML_support,Moderate_consensus
