gene,folds_selected,ML_recurrence_group
THSD4,2,2_of_3
TIMP4,2,2_of_3
TMED2,2,2_of_3
TMEM108,2,2_of_3
TMEM134,2,2_of_3
TMEM145,2,2_of_3
TMEM14A,2,2_of_3
TMEM14B,2,2_of_3
TMEM150C,2,2_of_3
TMEM213,2,2_of_3
TMEM265,2,2_of_3
TMEM64,2,2_of_3
TMEM92,2,2_of_3
TNFRSF12A,2,2_of_3
TNNT1,2,2_of_3
TOMM6,2,2_of_3
TP53TG1,2,2_of_3
TPD52L1,2,2_of_3
TRH,2,2_of_3
TRMT112,2,2_of_3
TRUB1,2,2_of_3
TSPAN13,2,2_of_3
TXNIP,2,2_of_3
TYRP1,2,2_of_3
USP32,2,2_of_3
VAMP8,2,2_of_3
VAV3,2,2_of_3
VTN,2,2_of_3
VWA1,2,2_of_3
WASF2,2,2_of_3
WASHC3,2,2_of_3
WDR72,2,2_of_3
WWOX,2,2_of_3
YBX3,2,2_of_3
YIF1A,2,2_of_3
YIPF3,2,2_of_3
YWHAQ,2,2_of_3
ZBTB20,2,2_of_3
ZNF385D,2,2_of_3
ABHD12,1,1_of_3
ABHD14B,1,1_of_3
ABHD2,1,1_of_3
AC008268.1,1,1_of_3
AC061961.1,1,1_of_3
AC110619.1,1,1_of_3
ACADVL,1,1_of_3
ACE,1,1_of_3
ACTN2,1,1_of_3
ADCY1,1,1_of_3
ADI1,1,1_of_3
ADIPOR2,1,1_of_3
ADIRF,1,1_of_3
ADM,1,1_of_3
AFTPH,1,1_of_3
AGR2,1,1_of_3
AGR3,1,1_of_3
AK4,1,1_of_3
ALDH3B2,1,1_of_3
ANGPTL1,1,1_of_3
ANK1,1,1_of_3
ANKRD11,1,1_of_3
ANXA3,1,1_of_3
AP1S2,1,1_of_3
AP2B1,1,1_of_3
AP2S1,1,1_of_3
AP3S1,1,1_of_3
APRT,1,1_of_3
ARF3,1,1_of_3
ARHGAP29,1,1_of_3
ARHGDIB,1,1_of_3
ARID5B,1,1_of_3
ARL4D,1,1_of_3
ARPC1B,1,1_of_3
ARSD,1,1_of_3
ATP1B1,1,1_of_3
ATP5F1D,1,1_of_3
ATP5MC2,1,1_of_3
ATP5MD,1,1_of_3
ATP5ME,1,1_of_3
ATP5MPL,1,1_of_3
ATP6V1G1,1,1_of_3
AZGP1,1,1_of_3
BAG3,1,1_of_3
BATF,1,1_of_3
BCAM,1,1_of_3
BEX4,1,1_of_3
BLVRA,1,1_of_3
BLVRB,1,1_of_3
BRD2,1,1_of_3
BST2,1,1_of_3
BTF3,1,1_of_3
