gene,detected_cells,detection_fraction,total_expression,mean_expression
LONRF1,237,0.07013909440662917,147.8807383211281,0.04376464584821784
TRMO,236,0.06984314886060965,140.11583392551947,0.041466656977069985
PARP2,236,0.06984314886060965,161.8647667396076,0.04790315677407742
CASP2,236,0.06984314886060965,144.80580701790714,0.04285463362471357
BCDIN3D,236,0.06984314886060965,150.4491127255527,0.044524744813717876
DDX58,236,0.06984314886060965,178.47982865897052,0.05282031034595162
SRGAP3,236,0.06984314886060965,156.63210096447764,0.046354572644118866
REEP4,236,0.06984314886060965,140.27887388710147,0.04151490792752337
MPP7,236,0.06984314886060965,147.73253752972212,0.04372078648408468
CXCL3,236,0.06984314886060965,266.37962715125394,0.0788338642057573
VSIG10L2,236,0.06984314886060965,160.70545777726866,0.047560064450212686
YTHDF3-AS1,236,0.06984314886060965,136.8881276858439,0.040511431691578545
RRM2B,236,0.06984314886060965,140.32709345948683,0.04152917829520179
SLC30A6,236,0.06984314886060965,143.2918623063672,0.04240658843041349
WDR59,236,0.06984314886060965,145.4836204093059,0.043055229478930424
INPP5J,236,0.06984314886060965,158.38251271516882,0.04687259920543617
C9orf64,235,0.06954720331459012,146.40089108995775,0.043326691651363644
RNF31,235,0.06954720331459012,135.35666005927825,0.04005820066862334
LMNTD2,235,0.06954720331459012,144.96516490867367,0.04290179488270899
CEP68,235,0.06954720331459012,142.07337730006455,0.042045983219906644
MFGE8,235,0.06954720331459012,166.51838422421915,0.04928037414152683
DGKE,235,0.06954720331459012,155.92459438307864,0.04614518922257432
MPP3,235,0.06954720331459012,159.9901102148961,0.047348360525272595
NSMAF,235,0.06954720331459012,134.11960803837357,0.039692100632842134
PPM1K,235,0.06954720331459012,220.6822425520392,0.06530992676887813
CUL2,235,0.06954720331459012,146.1544034327955,0.043253744727077686
FGF12,235,0.06954720331459012,209.00327074669323,0.06185358708099829
DHX34,235,0.06954720331459012,138.24651625031206,0.04091344073699676
AC007325.4,235,0.06954720331459012,145.98601548783924,0.0432039110647645
AL162253.2,235,0.06954720331459012,144.21237479275422,0.0426790100008151
TTC28,235,0.06954720331459012,151.52489459710202,0.04484311766709145
MADD,235,0.06954720331459012,148.7062009825927,0.04400893784628372
ABCB6,235,0.06954720331459012,129.55615502891837,0.038341567040224435
SLC25A32,234,0.06925125776857058,134.66195064469528,0.03985260451159967
TMEM8B,234,0.06925125776857058,141.30178349211604,0.04181763346910803
FN1,234,0.06925125776857058,209.26792073430843,0.061931909066087136
WDR37,234,0.06925125776857058,151.4515284458056,0.04482140528138668
RBSN,234,0.06925125776857058,141.12754838529978,0.04176606936528552
ZMYND19,234,0.06925125776857058,136.11900886653123,0.040283814402643156
AL139246.5,234,0.06925125776857058,158.7436872232794,0.046979487192447295
GTPBP2,234,0.06925125776857058,145.80474530747892,0.0431502649622607
NAT10,234,0.06925125776857058,147.13932057460133,0.04354522656839341
ZNF548,234,0.06925125776857058,142.64947451530705,0.04221647662483192
CDADC1,234,0.06925125776857058,138.10645189547353,0.0408719893150262
DAGLB,234,0.06925125776857058,155.40242136100264,0.04599065444243937
LRR1,234,0.06925125776857058,136.53445520957607,0.04040676389747738
LINC00909,234,0.06925125776857058,145.5114041914442,0.04306345196550583
U2AF1,234,0.06925125776857058,153.57725289006882,0.04545050396273123
PBX3,234,0.06925125776857058,152.93291740272758,0.04525981574511027
EXOC8,234,0.06925125776857058,143.57603790587197,0.04249068893337436
PAXIP1,234,0.06925125776857058,157.41911511252457,0.04658748597588771
ATP2B1-AS1,234,0.06925125776857058,152.6662090508175,0.04518088459627627
ZBTB37,234,0.06925125776857058,146.84623127476803,0.04345848809552176
UBR1,234,0.06925125776857058,137.28971644980695,0.040630280097604894
PPP1R3C,233,0.06895531222255105,241.44464147078702,0.0714544662535623
AC027097.2,233,0.06895531222255105,173.73413479975804,0.05141584338554544
LEAP2,233,0.06895531222255105,158.57060082486367,0.0469282630437596
C2orf74,233,0.06895531222255105,156.99705812332542,0.04646258008976781
FIG4,233,0.06895531222255105,134.8221034361731,0.03990000101692013
