"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","prevalence_difference","absolute_log2FC","direction","samples_tested","samples_prevalence_25pct","samples_prevalence_50pct","minimum_sample_prevalence","mean_sample_prevalence","maximum_sample_prevalence","consistency_category","biological_review_flag","fc_score","prevalence_score","specificity_score","significance_score","consistency_score","biomarker_score","adjusted_biomarker_score","priority_rank"
3.56653951580094e-111,0.996524496988474,0.941,0.605,1.30628076305725e-106,"GATA3",0.336,0.996524496988474,"Malignant_enriched",3,3,3,0.934210526315789,0.942055533113459,0.953237410071942,"Consistent_3_of_3","Standard_candidate",0.498262248494237,0.941,0.336,1,1,0.729965562123559,0.729965562123559,39
3.58030028800939e-90,1.19080890163795,0.813,0.472,1.31132078348632e-85,"GTF2I",0.341,1.19080890163795,"Malignant_enriched",3,3,3,0.718421052631579,0.817441393608468,0.88857938718663,"Consistent_3_of_3","Standard_candidate",0.595404450818975,0.813,0.341,1,1,0.729651112704744,0.729651112704744,40
5.26006294224309e-106,1.28295746684836,0.699,0.307,1.92655065322595e-101,"CKS2",0.392,1.28295746684836,"Malignant_enriched",3,3,3,0.584958217270195,0.712025072802043,0.866906474820144,"Consistent_3_of_3","Standard_candidate",0.64147873342418,0.699,0.392,1,1,0.728569683356045,0.728569683356045,41
9.12052271701692e-112,2.05207205532322,0.624,0.279,3.34048265033462e-107,"SUSD3",0.345,2.05207205532322,"Malignant_enriched",3,2,2,0,0.574207105507501,0.933147632311978,"Consistent_2_of_3","Standard_candidate",1,0.624,0.345,1,0.67,0.7278,0.7278,42
1.0219801945554e-104,1.13542760222441,0.963,0.75,3.74310466057861e-100,"ATP5MC3",0.213,1.13542760222441,"Malignant_enriched",3,3,3,0.953237410071942,0.96202083634368,0.974930362116992,"Consistent_3_of_3","Standard_candidate",0.567713801112205,0.963,0.213,1,1,0.727128450278051,0.727128450278051,43
2.07816895841629e-125,1.0298049727488,0.963,0.691,7.6115016270955e-121,"HSPE1",0.272,1.0298049727488,"Malignant_enriched",3,3,3,0.935251798561151,0.960616845916318,0.986072423398329,"Consistent_3_of_3","Standard_candidate",0.5149024863744,0.963,0.272,1,1,0.7257256215936,0.7257256215936,44
3.47630377042568e-97,1.00083939334084,0.939,0.625,1.27323101895611e-92,"CLDN3",0.314,1.00083939334084,"Malignant_enriched",3,3,3,0.859712230215827,0.932702786605198,0.98050139275766,"Consistent_3_of_3","Standard_candidate",0.50041969667042,0.939,0.314,1,1,0.725704924167605,0.725704924167605,45
3.92766194885025e-126,0.815374533391467,0.961,0.555,1.43854546538589e-121,"HSPA1A",0.406,0.815374533391467,"Malignant_enriched",3,3,3,0.947075208913649,0.961362568060198,0.971223021582734,"Consistent_3_of_3","Standard_candidate",0.407687266695734,0.961,0.406,1,1,0.725321816673933,0.725321816673933,46
2.14888472101612e-163,1.9968838993186,0.527,0.097,7.87050517919364e-159,"TIMP3",0.43,1.9968838993186,"Malignant_enriched",3,2,2,0.147368421052632,0.566226672671539,0.949640287769784,"Consistent_2_of_3","Standard_candidate",0.9984419496593,0.527,0.43,1,0.67,0.725010487414825,0.725010487414825,47
1.882075647002e-95,1.56380763946051,0.539,0.182,6.89329026470953e-91,"HPN",0.357,1.56380763946051,"Malignant_enriched",3,3,2,0.399280575539568,0.527356340993764,0.593314763231198,"Consistent_3_of_3","Standard_candidate",0.781903819730255,0.539,0.357,1,1,0.724675954932564,0.724675954932564,48
8.35058826834983e-84,1.13909918583198,0.957,0.753,3.05848645916581e-79,"COX7B",0.204,1.13909918583198,"Malignant_enriched",3,3,3,0.935251798561151,0.955456312270225,0.991643454038997,"Consistent_3_of_3","Standard_candidate",0.56954959291599,0.957,0.204,1,1,0.724587398228997,0.724587398228997,49
2.8332544350787e-102,1.42231854451359,0.6,0.23,1.03770776939192e-97,"AMZ2",0.37,1.42231854451359,"Malignant_enriched",3,3,2,0.498607242339833,0.608963994322794,0.723021582733813,"Consistent_3_of_3","Standard_candidate",0.711159272256795,0.6,0.37,1,1,0.721789818064199,0.721789818064199,50
