"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
4.41720625300317e-23,-1.55083215589601,0.388,0.76,1.61784596222494e-18,"FHL2"
4.59257371344524e-23,-1.52914199556699,0.508,0.844,1.68207604828645e-18,"APP"
5.13675421547242e-23,1.36931512169563,0.993,0.994,1.88138759895893e-18,"NDUFA4"
7.9692313441041e-23,-2.97334540121926,0.057,0.305,2.91881067209157e-18,"EPAS1"
1.21327610190927e-22,-1.28228395471697,0.987,1,4.4437450508529e-18,"NEAT1"
1.26104906977562e-22,-2.54985242407931,0.11,0.416,4.6187183229602e-18,"NCOA7"
2.38961514541426e-22,-1.75854559985061,0.423,0.779,8.75220443159426e-18,"KLF4"
3.89606880984442e-22,-2.05584961866644,0.254,0.591,1.42697416229362e-17,"FGF2"
4.0658058732199e-22,-2.39098358985104,0.124,0.435,1.48914205912552e-17,"TUBA4A"
4.71969720493569e-22,-2.32152766235989,0.087,0.364,1.72863629827974e-17,"ITGB6"
7.91502135272882e-22,-1.72011382658662,0.264,0.617,2.89895572065046e-17,"PMEPA1"
9.43423260772173e-22,-2.26641143384843,0.154,0.474,3.45538203490416e-17,"ELL2"
1.40752415604624e-21,-3.40686758893909,0.02,0.195,5.15519797393495e-17,"EGLN3"
1.97232214264842e-21,-1.84290872478774,0.18,0.519,7.22382707966412e-17,"RIPK2"
2.06731352932541e-21,1.96204431554371,0.874,0.63,7.57174253250726e-17,"BTG2"
2.13514661590921e-21,-1.53681708323447,0.35,0.708,7.82018799542907e-17,"IL13RA1"
2.20526191266121e-21,-7.14850729218385,0,0.104,8.07699228131295e-17,"LINC01705"
2.21540118893943e-21,-2.37988365825139,0.131,0.442,8.11412839460956e-17,"AREG"
2.64448429198164e-21,0.952953244504432,0.974,0.903,9.68568816781194e-17,"UQCR10"
2.84798595987248e-21,-5.9554031812786,0.007,0.143,1.04310333766289e-16,"KRTAP3-2"
3.36257119165182e-21,-1.70193717356569,0.368,0.688,1.2315753246544e-16,"NAMPT"
4.0195955514539e-21,-1.7669487519879,0.262,0.61,1.47221706667551e-16,"SPRING1"
4.08823017648032e-21,-3.01683192661534,0.063,0.305,1.49735518443768e-16,"ITGA2"
4.8071626017724e-21,-1.03674921665702,0.821,0.942,1.76067137452516e-16,"CSNK1A1"
5.27284672495925e-21,-3.19479106877419,0.095,0.364,1.93123284148357e-16,"PLAUR"
