"gene","sample_id","expressing_fraction","mean_expression"
"CXCL17","BC12",0.776315789473684,0.816033127021002
"CXCL17","BC17",0,0
"MAST4","BC11",0.305755395683453,0.214363435478985
"MAST4","BC12",0.581578947368421,0.414976675714485
"MAST4","BC17",0.763231197771588,0.955109513601018
"NDUFB5","BC11",0.615107913669065,0.529234328228489
"NDUFB5","BC12",0.831578947368421,0.832363965602477
"NDUFB5","BC17",0.863509749303621,1.17399387765818
"CST3","BC11",1,3.60229332479682
"CST3","BC12",0.960526315789474,1.78397837784921
"CST3","BC17",0.958217270194986,1.73152328799647
"FXYD3","BC11",1,2.82487428316995
"FXYD3","BC12",0.963157894736842,1.75348182004349
"FXYD3","BC17",0.988857938718663,2.05873882181782
"COX14","BC11",0.827338129496403,0.960621176451853
"COX14","BC12",0.792105263157895,0.680751044700954
"COX14","BC17",0.846796657381616,1.14878431170121
"GGA2","BC11",0.446043165467626,0.390115386951397
"GGA2","BC12",0.281578947368421,0.122977709047442
"GGA2","BC17",0.704735376044568,0.811201153702711
"CLU","BC11",0.989208633093525,1.95929245480923
"CLU","BC12",0.713157894736842,0.739785267712181
"CLU","BC17",0.977715877437326,2.21694566464888
"GCSH","BC11",0.607913669064748,0.558515236328039
"GCSH","BC12",0.781578947368421,0.553880285137416
"GCSH","BC17",0.54874651810585,0.497560701765099
"TEX264","BC11",0.546762589928058,0.433253536875412
"TEX264","BC12",0.831578947368421,0.729437619006866
"TEX264","BC17",0.688022284122563,0.726922083249209
"ACO2","BC11",0.503597122302158,0.415801047714477
"ACO2","BC12",0.6,0.39073498379528
"ACO2","BC17",0.743732590529248,0.854196908432921
"ATP6AP1","BC11",0.787769784172662,0.940317965411961
"ATP6AP1","BC12",0.821052631578947,0.698782302343589
"ATP6AP1","BC17",0.696378830083565,0.778243703690347
"CTSF","BC11",0.305755395683453,0.226924522762833
"CTSF","BC12",0.810526315789474,0.774557632307274
"CTSF","BC17",0.526462395543176,0.488624752037828
"C20orf27","BC11",0.568345323741007,0.494338997570159
"C20orf27","BC12",0.552631578947368,0.313458337549702
"C20orf27","BC17",0.334261838440111,0.28108250116716
"MRPS7","BC11",0.690647482014389,0.659920805420563
"MRPS7","BC12",0.823684210526316,0.706835236799105
"MRPS7","BC17",0.704735376044568,0.727948898348188
"HINT2","BC11",0.60431654676259,0.515694720403604
"HINT2","BC12",0.731578947368421,0.545445255948567
"HINT2","BC17",0.81058495821727,0.991717367352082
"GADD45G","BC11",0.31294964028777,0.265178319057063
"GADD45G","BC12",0.381578947368421,0.276985205941633
"GADD45G","BC17",0.682451253481894,0.943997495433716
"ITPK1","BC11",0.568345323741007,0.480460608194008
"ITPK1","BC12",0.223684210526316,0.0916631793595119
