"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.03276177906014e-18,-1.57414247723625,0.191,0.519,7.44519329198566e-14,"PRNP"
2.14627065359388e-18,-3.31678852796167,0.018,0.169,7.86093089585295e-14,"ITGB8"
2.17030846802442e-18,-2.05661355394508,0.089,0.344,7.94897179498625e-14,"PPL"
3.08994144761263e-18,-1.61360739506561,0.264,0.584,1.1317219546026e-13,"VPS37B"
3.21416528579471e-18,-1.69395024576643,0.331,0.675,1.17722017757517e-13,"BBC3"
4.16706946508616e-18,-2.19477198966114,0.159,0.448,1.52623086228246e-13,"SDC1"
6.03496207562436e-18,0.86216148690848,0.953,0.87,2.21036520981818e-13,"GATA3"
6.73873733128221e-18,0.950136986325841,0.996,1,2.46812993495542e-13,"MT-ND3"
7.18723932696032e-18,-2.69592744976344,0.041,0.234,2.63239827589249e-13,"AL133453.1"
7.23307644471301e-18,-0.823878809782975,1,1,2.64918657864059e-13,"ACTB"
7.38978296373522e-18,0.939709651064766,0.953,0.903,2.70658190829766e-13,"CIRBP"
7.53280705831947e-18,1.0369414805583,0.996,0.981,2.75896591318009e-13,"COX6C"
7.64630542397591e-18,-1.26733444679965,0.443,0.786,2.80053582458542e-13,"PMAIP1"
8.01393510270703e-18,-0.832017299099741,0.947,0.994,2.93518387071748e-13,"ANXA2"
8.16376410196654e-18,-2.0003205206891,0.269,0.584,2.99006023998627e-13,"ARHGAP29"
8.9678492596735e-18,1.48014599350857,0.963,0.909,3.28456446984802e-13,"CD9"
9.43766325116143e-18,-5.44172056668801,0.023,0.182,3.45663854237039e-13,"ANXA1"
9.64040650571072e-18,-0.936370575209303,0.974,0.994,3.53089528678161e-13,"ACTG1"
9.68979051328166e-18,2.84304150788562,0.52,0.169,3.54898267339454e-13,"KIF12"
1.04810894281757e-17,-1.10078939958203,0.763,0.981,3.83880381396364e-13,"TMSB4X"
1.09726188400164e-17,-1.66099918872835,0.261,0.578,4.0188313763444e-13,"OGFRL1"
1.18489197664788e-17,-3.02585499404155,0.171,0.448,4.33978535367054e-13,"IGFBP5"
1.27263734518491e-17,-1.36386867045541,0.442,0.76,4.66116154047423e-13,"ASPH"
1.28235136083042e-17,-1.26059537247084,0.444,0.792,4.6967400941775e-13,"LURAP1L"
1.41315661811991e-17,-2.06008531569711,0.138,0.416,5.17582742952598e-13,"CDR2"
1.4474404067284e-17,1.17748871239689,0.972,0.929,5.30139523368343e-13,"DBI"
1.72833467004862e-17,-1.43727320854921,0.433,0.753,6.33019856252007e-13,"HMGA1"
2.8600144891387e-17,-3.37007898341975,0.022,0.175,1.04750890679194e-12,"GLIPR1"
2.96010952376385e-17,-1.19854854869206,0.525,0.812,1.08416971417375e-12,"PTTG1IP"
3.78548962582954e-17,-0.924783178825662,0.215,0.571,1.38647343035633e-12,"GSTP1"
3.82534650327643e-17,-1.52325007315636,0.518,0.779,1.40107141029003e-12,"SPTSSA"
3.84935837831562e-17,0.588182721118494,1,1,1.40986599964188e-12,"MT-CO2"
5.20425422871024e-17,-1.17557812906439,0.327,0.695,1.90611015380741e-12,"ZNF644"
6.55343803118075e-17,-1.02614978578658,0.974,0.994,2.40026221330026e-12,"RPL23"
6.84952101022172e-17,0.84962993789934,0.961,0.883,2.50870556520381e-12,"ATP5ME"
6.87597546136013e-17,-0.932682338497492,0.568,0.877,2.51839477247776e-12,"ENAH"
7.29354364667833e-17,-1.86366291501356,0.287,0.623,2.6713332960324e-12,"CEACAM5"
7.90224449660604e-17,-1.60286066370962,0.194,0.5,2.89427606932693e-12,"CDCP1"
8.25434524010219e-17,-1.0846116219343,0.337,0.682,3.02323648763983e-12,"AP3S1"
8.97553936374154e-17,-1.66985763023906,0.211,0.506,3.28738104736398e-12,"MAP2K3"
9.06112433731635e-17,0.607345105100386,0.989,0.955,3.31872739978549e-12,"ATP5F1E"
