"integrated_rank","gene","final_integrated_score","final_tier","adjusted_biomarker_score","biomarker_score","avg_log2FC","absolute_log2FC","pct.1","pct.2","prevalence_difference","mean_sample_prevalence","minimum_sample_prevalence","maximum_sample_prevalence","consistency_category","sample_consistency_score","specificity_score","prevalence_score","significance_score","high_priority","robust_3sample","final_biological_category","biological_class","GO_BP_support","GO_CC_support","GO_MF_support","KEGG_support","pathway_support","epithelial_relevance","proliferation_relevance","mitochondrial_relevance","stress_relevance","metabolic_flag","biological_review_flag"
44,"GABARAPL2",0.676049846341689,"Tier_2_Strong_Robust_Candidate",0.701964164852038,0.701964164852038,0.921313318816309,0.921313318816309,0.853,0.522,0.331,0.854753886379241,0.729805013927577,0.931578947368421,"Consistent_3_of_3",1,0.331,0.853,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
45,"UQCRH",0.675785282088052,"Tier_2_Strong_Robust_Candidate",0.679926562090905,0.679926562090905,0.841012496727239,0.841012496727239,0.971,0.818,0.153,0.970596605840969,0.956834532374101,0.994428969359331,"Consistent_3_of_3",1,0.153,0.971,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"OXPHOS_Pathway_Supported","Standard_candidate"
46,"CLU",0.675777182974774,"Tier_2_Strong_Robust_Candidate",0.695854170776018,0.695854170776018,0.854833366208147,0.854833366208147,0.882,0.569,0.313,0.893360801755898,0.713157894736842,0.989208633093525,"Consistent_3_of_3",1,0.313,0.882,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
47,"EPN3",0.675747068071565,"Tier_1_Strong_Tumor_Relevant",0.766,0.766,2.37194040602517,2.37194040602517,0.452,0.074,0.378,0.455457472462142,0.35,0.54874651810585,"Consistent_3_of_3",1,0.378,0.452,1,TRUE,TRUE,"Epithelial_Tumor_Relevant","Epithelial_TumorAssociated",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
48,"C18orf32",0.675492607160691,"Tier_2_Strong_Robust_Candidate",0.708201149075133,0.708201149075133,1.03680919260106,1.03680919260106,0.896,0.649,0.247,0.886447235702129,0.776978417266187,0.966573816155989,"Consistent_3_of_3",1,0.247,0.896,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
49,"NDUFA1",0.675077224677425,"Tier_2_Strong_Robust_Candidate",0.67348070392601,0.67348070392601,0.735045631408079,0.735045631408079,0.926,0.694,0.232,0.926038345397571,0.902631578947368,0.958217270194986,"Consistent_3_of_3",1,0.232,0.926,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"OXPHOS_Pathway_Supported","Standard_candidate"
50,"FXYD3",0.674868680922156,"Tier_2_Strong_Robust_Candidate",0.689226344800889,0.689226344800889,0.825810758407108,0.825810758407108,0.982,0.784,0.198,0.984005277818502,0.963157894736842,1,"Consistent_3_of_3",1,0.198,0.982,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
51,"PEBP1",0.673806779130097,"Tier_2_Strong_Robust_Candidate",0.683588752356543,0.683588752356543,0.755110018852341,0.755110018852341,0.975,0.754,0.221,0.976745447213553,0.960526315789474,0.989208633093525,"Consistent_3_of_3",1,0.221,0.975,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
52,"CLDN3",0.673804538138461,"Tier_2_Strong_Robust_Candidate",0.725704924167605,0.725704924167605,1.00083939334084,1.00083939334084,0.939,0.625,0.314,0.932702786605198,0.859712230215827,0.98050139275766,"Consistent_3_of_3",1,0.314,0.939,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
53,"HSPD1",0.6733375045662,"Tier_2_Strong_Robust_Candidate",0.693608341024119,0.693608341024119,0.857666728192954,0.857666728192954,0.897,0.612,0.285,0.891139878011094,0.834532374100719,0.944736842105263,"Consistent_3_of_3",1,0.285,0.897,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
