"integrated_rank","gene","final_integrated_score","final_tier","adjusted_biomarker_score","biomarker_score","avg_log2FC","absolute_log2FC","pct.1","pct.2","prevalence_difference","mean_sample_prevalence","minimum_sample_prevalence","maximum_sample_prevalence","consistency_category","sample_consistency_score","specificity_score","prevalence_score","significance_score","high_priority","robust_3sample","final_biological_category","biological_class","GO_BP_support","GO_CC_support","GO_MF_support","KEGG_support","pathway_support","epithelial_relevance","proliferation_relevance","mitochondrial_relevance","stress_relevance","metabolic_flag","biological_review_flag"
367,"SNRPN",0.548159794514098,"Tier_3_Exploratory_Robust",0.597995034659879,0.597995034659879,0.697560277279035,0.697560277279035,0.583,0.362,0.221,0.600297606805334,0.378947368421053,0.758992805755396,"Consistent_3_of_3",1,0.221,0.583,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
368,"RPN1",0.548066520529511,"Tier_3_Exploratory_Robust",0.604710224268713,0.604710224268713,0.7688817941497,0.7688817941497,0.54,0.287,0.253,0.53654087725275,0.503597122302158,0.568421052631579,"Consistent_3_of_3",1,0.253,0.54,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
369,"FAM120AOS",0.547269284820206,"Tier_3_Exploratory_Robust",0.636690375712111,0.636690375712111,0.919123005696885,0.919123005696885,0.573,0.287,0.286,0.56250785326877,0.467966573816156,0.744736842105263,"Consistent_3_of_3",1,0.286,0.573,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
370,"TIMMDC1",0.545900769553325,"Tier_3_Exploratory_Robust",0.602779485430415,0.602779485430415,0.76303588344332,0.76303588344332,0.536,0.285,0.251,0.519579785519188,0.356115107913669,0.678947368421053,"Consistent_3_of_3",1,0.251,0.536,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
371,"ZBTB20",0.545841244068971,"Tier_3_Exploratory_Robust",0.65729207712243,0.65729207712243,1.44553661697944,1.44553661697944,0.395,0.157,0.238,0.424026097989809,0.259052924791086,0.744604316546763,"Consistent_3_of_3",1,0.238,0.395,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
372,"GPAA1",0.545539726768163,"Tier_3_Exploratory_Robust",0.605748657797793,0.605748657797793,0.817189262382344,0.817189262382344,0.553,0.338,0.215,0.525956112400799,0.258992805755396,0.786842105263158,"Consistent_3_of_3",1,0.215,0.553,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
373,"RAP1A",0.545239180439564,"Tier_3_Exploratory_Robust",0.599588150310803,0.599588150310803,0.743905202486425,0.743905202486425,0.57,0.357,0.213,0.555561889734657,0.381294964028777,0.688022284122563,"Consistent_3_of_3",1,0.213,0.57,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
374,"TIMM17B",0.545165364361092,"Tier_3_Exploratory_Robust",0.593747811386121,0.593747811386121,0.661982491088967,0.661982491088967,0.567,0.329,0.238,0.572156905761126,0.403899721448468,0.657894736842105,"Consistent_3_of_3",1,0.238,0.567,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
375,"USF2",0.54511069006202,"Tier_3_Exploratory_Robust",0.660225902514264,0.660225902514264,1.22580722011411,1.22580722011411,0.492,0.199,0.293,0.484229423381102,0.413669064748201,0.571052631578947,"Consistent_3_of_3",1,0.293,0.492,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
376,"WBP1",0.545025867025299,"Tier_3_Exploratory_Robust",0.604545994307568,0.604545994307568,0.540367954460541,0.540367954460541,0.655,0.375,0.28,0.659033781624459,0.584958217270195,0.715827338129496,"Consistent_3_of_3",1,0.28,0.655,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
