"SYMBOL","ENTREZID","ENSEMBL"
"ABHD12","26090","ENSG00000100997"
"SDF2L1","23753","ENSG00000128228"
"BLVRA","644","ENSG00000106605"
"GAMT","2593","ENSG00000130005"
"NDUFB1","4707","ENSG00000183648"
"GADD45GIP1","90480","ENSG00000179271"
"COPRS","55352","ENSG00000172301"
"ST13","6767","ENSG00000100380"
"NDUFB8","4714","ENSG00000166136"
"MRPL21","219927","ENSG00000197345"
"FAM120AOS","158293","ENSG00000188938"
"PTPMT1","114971","ENSG00000110536"
"CLPTM1","1209","ENSG00000104853"
"BCAM","4059","ENSG00000187244"
"LAMP2","3920","ENSG00000005893"
"TAF15","8148","ENSG00000270647"
"TJP3","27134","ENSG00000105289"
"TLE5","166","ENSG00000104964"
"TOMM22","56993","ENSG00000100216"
"BTG2","7832","ENSG00000159388"
"CNPY3","10695","ENSG00000137161"
"MRPL24","79590","ENSG00000143314"
"BAG3","9531","ENSG00000151929"
"CDS2","8760","ENSG00000101290"
"ERLEC1","27248","ENSG00000068912"
"DMAC1","90871","ENSG00000137038"
"RPN2","6185","ENSG00000118705"
"MICOS13","125988","ENSG00000174917"
"SERINC3","10955","ENSG00000132824"
"MDH1","4190","ENSG00000014641"
"MLF2","8079","ENSG00000089693"
"PTGES3","10728","ENSG00000110958"
"TSC22D3","1831","ENSG00000157514"
"ZMAT2","153527","ENSG00000146007"
"C15orf61","145853","ENSG00000189227"
"RABAC1","10567","ENSG00000105404"
"NDUFB6","4712","ENSG00000165264"
"PNKD","25953","ENSG00000127838"
"POLD4","57804","ENSG00000175482"
"TCEAL3","85012","ENSG00000196507"
"STMN1","3925","ENSG00000117632"
"PRR15L","79170","ENSG00000167183"
"FDPS","2224","ENSG00000160752"
"GTF3A","2971","ENSG00000122034"
"LSM4","25804","ENSG00000130520"
"SLC35B1","10237","ENSG00000121073"
"PPCS","79717","ENSG00000127125"
"FSIP1","161835","ENSG00000150667"
"EPHX1","2052","ENSG00000143819"
"DCXR","51181","ENSG00000169738"
"METRN","79006","ENSG00000103260"
"CDH1","999","ENSG00000039068"
"HSD17B10","3028","ENSG00000072506"
"GHITM","27069","ENSG00000165678"
"ABHD2","11057","ENSG00000140526"
"POLDIP2","26073","ENSG00000004142"
"ATXN10","25814","ENSG00000130638"
"NDUFS7","374291","ENSG00000115286"
"SQLE","6713","ENSG00000104549"
"ANAPC16","119504","ENSG00000166295"
"GNG10","2790","ENSG00000242616"
"AKAP1","8165","ENSG00000121057"
"CHCHD5","84269","ENSG00000125611"
"OS9","10956","ENSG00000135506"
"MAP4K3-DT","728730","ENSG00000231312"
"SRPRB","58477","ENSG00000144867"
"HMGCS1","3157","ENSG00000112972"
"RNF187","149603","ENSG00000168159"
"IRX3","79191","ENSG00000177508"
"NINJ1","4814","ENSG00000131669"
"BAD","572","ENSG00000002330"
"MRPL36","64979","ENSG00000171421"
"PIN1","5300","ENSG00000127445"
"HAGH","3029","ENSG00000063854"
"SERTAD3","29946","ENSG00000167565"
"UQCC3","790955","ENSG00000204922"
"RNASEH2C","84153","ENSG00000172922"
"SIGIRR","59307","ENSG00000185187"
"RBM47","54502","ENSG00000163694"
"POLR2F","5435","ENSG00000100142"
"UHMK1","127933","ENSG00000152332"
"ECH1","1891","ENSG00000104823"
"BLVRB","645","ENSG00000090013"
"JOSD2","126119","ENSG00000161677"
"CACYBP","27101","ENSG00000116161"
"SAYSD1","55776","ENSG00000112167"
"SELENOS","55829","ENSG00000131871"
"PLD3","23646","ENSG00000105223"
"GRAMD1A","57655","ENSG00000089351"
"POLE4","56655","ENSG00000115350"
"CXXC5","51523","ENSG00000171604"
"MRPS18B","28973","ENSG00000204568"
"TRPS1","7227","ENSG00000104447"
"EMC10","284361","ENSG00000161671"
"NFU1","27247","ENSG00000169599"
"CMC1","152100","ENSG00000187118"
"FAM174A","345757","ENSG00000174132"
"PGP","283871","ENSG00000184207"
"ARL3","403","ENSG00000138175"
"MTCH1","23787","ENSG00000137409"
"MACROD1","28992","ENSG00000133315"
"NDUFA10","4705","ENSG00000130414"
"SRSF6","6431","ENSG00000124193"
"RAB17","64284","ENSG00000124839"
"TMEM208","29100","ENSG00000168701"
"MEA1","4201","ENSG00000124733"
"BSCL2","26580","ENSG00000168000"
"ZBED5-AS1","729013","ENSG00000247271"
"FLYWCH2","114984","ENSG00000162076"
"HDDC2","51020","ENSG00000111906"
"SPR","6697","ENSG00000116096"
"FLOT1","10211","ENSG00000137312"
"LLGL2","3993","ENSG00000073350"
"MRPS14","63931","ENSG00000120333"
"RNF13","11342","ENSG00000082996"
"SKAP1","8631","ENSG00000141293"
"ACOT13","55856","ENSG00000112304"
"LRPAP1","4043","ENSG00000163956"
"GRN","2896","ENSG00000030582"
"BEX4","56271","ENSG00000102409"
"HTATIP2","10553","ENSG00000109854"
"SRSF1","6426","ENSG00000136450"
"FAM110A","83541","ENSG00000125898"
"MCTS1","28985","ENSG00000232119"
"DEK","7913","ENSG00000124795"
"PPP1CC","5501","ENSG00000186298"
"DCTN3","11258","ENSG00000137100"
"ADI1","55256","ENSG00000182551"
"GPAA1","8733","ENSG00000197858"
"EBP","10682","ENSG00000147155"
"PIGX","54965","ENSG00000163964"
"RPN1","6184","ENSG00000163902"
"WBP1","23559","ENSG00000239779"
"CTSA","5476","ENSG00000064601"
"TXN2","25828","ENSG00000100348"
"ANAPC13","25847","ENSG00000129055"
"ERBB3","2065","ENSG00000065361"
"MRPL34","64981","ENSG00000130312"
"NPTN","27020","ENSG00000156642"
"CTSZ","1522","ENSG00000101160"
"TIMMDC1","51300","ENSG00000113845"
"NT5C","30833","ENSG00000125458"
"COQ4","51117","ENSG00000167113"
"ARMCX3","51566","ENSG00000102401"
"CAND1","55832","ENSG00000111530"
"NOL3","8996","ENSG00000140939"
"RPP21","79897","ENSG00000241370"
"C7orf50","84310","ENSG00000146540"
"MGMT","4255","ENSG00000170430"
"ITFG1","81533","ENSG00000129636"
"RCN2","5955","ENSG00000117906"
"CHPF","79586","ENSG00000123989"
"RAP1A","5906","ENSG00000116473"
"SEC61A1","29927","ENSG00000058262"
"SH3YL1","26751","ENSG00000035115"
"HMGN4","10473","ENSG00000182952"
"SWI5","375757","ENSG00000175854"
"SNRPN","6638","ENSG00000128739"
"CCDC85B","11007","ENSG00000175602"
"CANT1","124583","ENSG00000171302"
"BRMS1","25855","ENSG00000174744"
"ATG101","60673","ENSG00000123395"
"IFT27","11020","ENSG00000100360"
"MAGEF1","64110","ENSG00000177383"
"PIGP","51227","ENSG00000185808"
"MTX2","10651","ENSG00000128654"
"TMEM9","252839","ENSG00000116857"
"H2BC4","8347","ENSG00000180596"
"EGLN2","112398","ENSG00000269858"
"ABHD14A","25864","ENSG00000248487"
"FBP1","2203","ENSG00000165140"
"DCAF7","10238","ENSG00000136485"
"TIMM17B","10245","ENSG00000126768"
"CCDC34","91057","ENSG00000109881"
"ZNF385A","25946","ENSG00000161642"
"VDAC3","7419","ENSG00000078668"
"ARL2BP","23568","ENSG00000102931"
"GRINA","2907","ENSG00000178719"
"RBBP4","5928","ENSG00000162521"
"GPR160","26996","ENSG00000173890"
"KRR1","11103","ENSG00000111615"
"SPINT1-AS1","102724362","ENSG00000261183"
"CLTC","1213","ENSG00000141367"
"RXRA","6256","ENSG00000186350"
"RETREG2","79137","ENSG00000144567"
"MYADM","91663","ENSG00000179820"
"OTUD6B-AS1","100506365","ENSG00000253738"
"CREG1","8804","ENSG00000143162"
"METTL5","29081","ENSG00000138382"
"THNSL2","55258","ENSG00000144115"
"EXOSC5","56915","ENSG00000077348"
