gene,coefficient,test_sample,selected_C
MRPL40,0.03500307383313515,BC11,0.01
BTG2,-0.17796884590368245,BC11,0.01
MAST4,0.05314499964754141,BC11,0.01
MICOS13,-0.0386133792927039,BC11,0.01
RWDD4,0.057455588009035996,BC11,0.01
NDUFV1,0.04828180202386029,BC11,0.01
UQCC3,-0.015451654548667693,BC11,0.01
LSM4,-0.044824459982844934,BC11,0.01
H2BC21,0.018115194189716043,BC11,0.01
RPN2,-0.05263820053289468,BC11,0.01
MIEN1,-0.014491674459097308,BC11,0.01
AMZ2,0.01644036872778504,BC11,0.01
ANAPC16,-0.08931473688243508,BC11,0.01
MZT2A,-0.136002680758832,BC11,0.01
YIF1A,0.028144605209858554,BC11,0.01
C11orf58,-0.07142281706404517,BC11,0.01
PDHB,0.05395769720823734,BC11,0.01
TRAPPC6A,0.012841151262631125,BC11,0.01
FDPS,-0.10302903726703677,BC11,0.01
DCXR,-0.03080801763470137,BC11,0.01
CMBL,0.0323091757017868,BC11,0.01
DHRS7,-0.005224707544276276,BC11,0.01
SDF2L1,0.03010733599627039,BC11,0.01
GTF3A,-0.017759754373693256,BC11,0.01
H2AC6,-0.012393796898105172,BC11,0.01
ARF3,0.011887259427281903,BC11,0.01
BLVRB,-0.05122926223831018,BC11,0.01
CRNDE,-0.054048747946848996,BC11,0.01
CYB561,-0.05050855307706269,BC11,0.01
DUT,0.01913340886017028,BC11,0.01
CHCHD5,-0.059527363384781616,BC11,0.01
ST13,-0.05785217599246028,BC11,0.01
TMEM134,0.07374984696361604,BC11,0.01
GALNT1,0.03704791299922976,BC11,0.01
TMEM9B,0.017710051845020416,BC11,0.01
FOXA1,-0.016318655958036686,BC11,0.01
RNF139,0.06851269238576624,BC11,0.01
DDT,-0.038670549317981404,BC11,0.01
TOMM22,-0.005284847001208516,BC11,0.01
COMT,-0.02859747542353004,BC11,0.01
HSD17B10,-0.047219123796378694,BC11,0.01
SELENOS,-0.12612708691498625,BC11,0.01
PPCS,-0.00444126804800181,BC11,0.01
CACYBP,0.0034609810789593366,BC11,0.01
GNG10,-0.005050974437164236,BC11,0.01
POLD4,-0.030182702401496304,BC11,0.01
POLR2F,0.005635889451740481,BC11,0.01
