gene,coefficient,test_sample
NDUFA7,0.20921173842921997,BC12
MRPL40,0.0064086424767646425,BC12
NDUFS6,-0.15974561763763365,BC12
NDUFS3,-0.0828763472452156,BC12
CALR,-0.10628804629421618,BC12
MRPS18A,0.20044400113410124,BC12
NDUFV1,-0.20220291068480747,BC12
MRPS24,-0.04825995590293268,BC12
IDH1,0.11808317239761645,BC12
COX7A2L,0.5304280714237889,BC12
NDUFA6,0.40679007244428605,BC12
PRSS23,0.19075080891266272,BC17
EPN3,0.3599937911027921,BC17
FCGRT,0.9039277112385226,BC17
ESR1,0.10159971257477675,BC17
CDK4,0.0640813595502979,BC17
PCNA,0.013604709856266665,BC17
ATP5F1A,-0.6125977978293704,BC17
ETFB,0.5062959889693726,BC17
COX7B,-0.0066887698985712354,BC17
COX8A,0.5281451328324883,BC17
NDUFB5,0.2566681385737592,BC17
MDH2,-0.39131496682348826,BC17
SORD,0.28196349785283226,BC17
CYC1,-0.08868626026247267,BC17
ATP5F1B,-0.12353407291866826,BC17
COX5B,-0.36547817121920856,BC17
MRPS7,0.31399960260587734,BC17
PDHB,0.013905290766435785,BC17
CYB561,0.5222056030917023,BC17
COX5A,-0.16171591602229396,BC17
MRPS23,0.2624250162618961,BC17
UQCR10,-0.3763908586206436,BC17
NDUFB7,-0.08798130274538317,BC17
MRPL27,0.14554435109015867,BC17
NDUFB9,0.13003678615860878,BC17
NDUFB10,0.19046156905615583,BC17
MRPS26,0.050442450759414136,BC17
MRPS12,0.2636890193875821,BC17
UQCRH,-0.142489546828153,BC17
MRPL12,0.16220718903918677,BC17
SELENOT,0.3430463101190909,BC17
NDUFS2,-0.06455105264393475,BC17
NDUFA12,0.04875354884352671,BC17
NDUFA1,-0.010053962788803527,BC17
NDUFA8,-0.06548082979662316,BC17
MRPL23,0.2479098978137853,BC17
IDH2,0.3797033543727824,BC17
NDUFB4,-0.14339095949688252,BC17
COX11,0.08976660393537425,BC17
NDUFA7,-0.12753230687299927,BC17
MRPL40,0.16222460290675572,BC17
NDUFS6,0.07394768673838083,BC17
NDUFS3,0.02480698841489594,BC17
CALR,0.5053788969201432,BC17
MRPS18A,0.31307965638823076,BC17
NDUFV1,0.34369658789196994,BC17
MRPS24,0.31801270349614985,BC17
IDH1,0.06514010214742073,BC17
COX7A2L,-0.10153758388853938,BC17
NDUFA6,0.04885225384061702,BC17
