"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.20507834707198e-75,0.690501803619087,0.816,0.601,1.54015199539858e-70,"6","ENSA"
5.02772370632528e-75,0.804410859243527,0.523,0.273,1.8414540846787e-70,"6","NUBP2"
5.85894598342854e-75,0.706618085782543,0.726,0.452,2.14589755589054e-70,"6","NDUFB3"
6.25520594844187e-75,1.0678686469996,0.441,0.209,2.29103173067632e-70,"6","CTNNBIP1"
7.77045611187883e-75,0.699951054751754,0.642,0.37,2.84600725553674e-70,"6","ZG16B"
1.04785087124851e-74,1.26199819300236,0.27,0.099,3.83785860103478e-70,"6","C1orf53"
2.42839044570076e-74,0.677819649202016,0.785,0.521,8.89422284642361e-70,"6","PLP2"
2.44275500904139e-74,0.808144880995827,0.423,0.196,8.94683449611501e-70,"6","TOR3A"
3.00864274540022e-74,0.829898797451348,0.549,0.287,1.10194549193028e-69,"6","MGMT"
3.47488553776808e-74,0.800914616074429,0.271,0.098,1.27271157706294e-69,"6","HPF1"
5.30461135285067e-74,0.751598304134293,0.547,0.289,1.94286695409509e-69,"6","DPM2"
7.94351628765136e-74,0.701705494173636,0.825,0.581,2.90939227551519e-69,"6","ATP5PD"
8.58180589001909e-74,0.898698538241335,0.626,0.358,3.14317222527839e-69,"6","AP2B1"
1.04782511747973e-73,0.870984698593367,0.303,0.118,3.83776427528124e-69,"6","AC100801.1"
1.25017879594062e-73,0.532501473754798,0.677,0.4,4.57890485801211e-69,"6","DDX46"
1.48059150339307e-73,0.51622468701778,0.901,0.721,5.42281444032744e-69,"6","COX6B1"
3.00179527482552e-73,0.721789992883121,0.708,0.442,1.0994375373576e-68,"6","SNRPD3"
3.68839150657342e-73,0.729523076877141,0.448,0.212,1.35091027319758e-68,"6","KIF9"
6.64295786939442e-73,0.835931167465482,0.463,0.226,2.4330497492444e-68,"6","COMTD1"
7.20366857832962e-73,0.70667849310194,0.658,0.384,2.63841565349901e-68,"6","SSNA1"
8.56463570584385e-73,0.848842196442051,0.529,0.271,3.13688347362237e-68,"6","RNPEP"
1.57714627402843e-72,1.17927996577222,0.274,0.102,5.77645594325653e-68,"6","GCAT"
1.79609119633567e-72,0.546154581989463,0.933,0.754,6.57836361569904e-68,"6","TXN"
2.37913898398561e-72,0.820529545364934,0.385,0.172,8.7138344427457e-68,"6","PGD"
2.72373242174531e-72,0.824277883657292,0.421,0.196,9.97594236788438e-68,"6","TIMM50"
4.59980409308023e-72,0.857810985918283,0.518,0.273,1.68472424713157e-67,"6","AHCY"
5.44268121537509e-72,0.751828768344509,0.623,0.364,1.99343642194328e-67,"6","MRPS15"
1.09228281362927e-71,0.713633162177148,0.683,0.426,4.00059503319858e-67,"6","NPDC1"
1.23184461572053e-71,0.894314709446159,0.328,0.134,4.51175408953802e-67,"6","GPN3"
1.23862319190421e-71,0.777517099302701,0.751,0.478,4.53658130266836e-67,"6","PET100"
1.35680641604768e-71,0.683655105623831,0.723,0.466,4.96943917941623e-67,"6","VKORC1"
1.37637156545131e-71,0.616838683643652,0.682,0.415,5.04109849562198e-67,"6","NDUFA12"
1.70790200033035e-71,0.691837698752519,0.54,0.279,6.25536186640994e-67,"6","SCD"
1.84698136001327e-71,1.04426323746892,0.363,0.157,6.76475392918461e-67,"6","ACTL6A"
2.09230359562969e-71,0.800199206688646,0.579,0.324,7.66327114935331e-67,"6","POLR2G"
2.33091553421731e-71,1.04851432319725,0.272,0.103,8.53721123562434e-67,"6","NCAPH2"
2.99785837311935e-71,0.662820410843239,0.725,0.474,1.09799560773869e-66,"6","MRPS34"
3.0308588036501e-71,0.630504988998861,0.692,0.435,1.11008234542488e-66,"6","POLR2I"
3.22128052703795e-71,0.783226657860405,0.655,0.399,1.17982620583292e-66,"6","NDUFAF3"
3.24295713515268e-71,0.754187761299625,0.576,0.32,1.18776548032102e-66,"6","TEX264"
3.83268086463388e-71,0.798584819624644,0.45,0.22,1.40375769348081e-66,"6","SRM"
3.9423208505288e-71,0.679602465699442,0.622,0.358,1.44391443471468e-66,"6","POLE4"
4.73565559936302e-71,0.659754843316584,0.666,0.399,1.7344812198227e-66,"6","MRPL24"
5.71186755633841e-71,0.64156155517541,0.797,0.565,2.09202861118451e-66,"6","LAMTOR2"
6.42173590652434e-71,1.26494621272982,0.27,0.101,2.35202499312361e-66,"6","GREB1"
6.93138281012361e-71,0.687023112554285,0.699,0.46,2.53868826803587e-66,"6","NHP2"
7.89135316881745e-71,0.707188987913749,0.585,0.318,2.89028701161108e-66,"6","MRPS14"
8.76510682487293e-71,0.982787699513479,0.336,0.142,3.21030802567796e-66,"6","ELP5"
1.12136135948305e-70,0.859423833226844,0.487,0.252,4.10709811524262e-66,"6","ADAM15"
1.32387141992779e-70,0.540132061714601,0.846,0.584,4.84881146262754e-66,"6","S100A13"
1.55520900417021e-70,0.760142194261476,0.582,0.323,5.69610849867383e-66,"6","PAM16"
1.933389139004e-70,1.03670140619631,0.271,0.101,7.08123106051606e-66,"6","TOR2A"
2.05849483280189e-70,0.599182635682336,0.69,0.428,7.53944317462018e-66,"6","PA2G4"
2.13427941937759e-70,0.618235183314532,0.841,0.614,7.81701180141236e-66,"6","NDUFA11"
2.38522198351877e-70,0.879691001109438,0.378,0.167,8.73611403683586e-66,"6","GOT2"
2.52128228222477e-70,1.19348053142642,0.276,0.105,9.23444848687646e-66,"6","CTPS2"
2.73910166940379e-70,0.966887338717255,0.31,0.125,1.00322337743583e-65,"6","LINC01116"
4.41513640405105e-70,0.588540109671188,0.839,0.62,1.61708785934774e-65,"6","NEDD8"
5.08972405098182e-70,1.13177944835804,0.26,0.095,1.8641623309126e-65,"6","C20orf204"
7.4858681148772e-70,0.982283909336183,0.265,0.098,2.74177405575492e-65,"6","ICMT"
