"integrated_rank","gene","final_integrated_score","final_tier","adjusted_biomarker_score","biomarker_score","avg_log2FC","absolute_log2FC","pct.1","pct.2","prevalence_difference","mean_sample_prevalence","minimum_sample_prevalence","maximum_sample_prevalence","consistency_category","sample_consistency_score","specificity_score","prevalence_score","significance_score","high_priority","robust_3sample","final_biological_category","biological_class","GO_BP_support","GO_CC_support","GO_MF_support","KEGG_support","pathway_support","epithelial_relevance","proliferation_relevance","mitochondrial_relevance","stress_relevance","metabolic_flag","biological_review_flag","final_review_class","review_status","strong_candidate"
31,"NDUFB10",0.684466735445208,"Tier_2_Strong_Robust_Candidate",0.681885747721626,0.681885747721626,0.751085981773012,0.751085981773012,0.925,0.66,0.265,0.924405445589284,0.899721448467967,0.952631578947368,"Consistent_3_of_3",1,0.265,0.925,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"OXPHOS_Pathway_Supported","Standard_candidate","Mitochondrial_OXPHOS","Standard",TRUE
32,"COX5A",0.684395716904917,"Tier_2_Strong_Robust_Candidate",0.686557889505941,0.686557889505941,0.828463116047528,0.828463116047528,0.947,0.729,0.218,0.947188116681556,0.928947368421053,0.966573816155989,"Consistent_3_of_3",1,0.218,0.947,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"OXPHOS_Pathway_Supported","Standard_candidate","Mitochondrial_OXPHOS","Standard",TRUE
34,"NDUFB9",0.683514994591374,"Tier_2_Strong_Robust_Candidate",0.682063756237649,0.682063756237649,0.787710049901196,0.787710049901196,0.97,0.772,0.198,0.969924362518488,0.955263157894737,0.983286908077994,"Consistent_3_of_3",1,0.198,0.97,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"OXPHOS_Pathway_Supported","Standard_candidate","Mitochondrial_OXPHOS","Standard",TRUE
35,"MDH2",0.682656071180685,"Tier_2_Strong_Robust_Candidate",0.703877645922375,0.703877645922375,1.058221167379,1.058221167379,0.892,0.676,0.216,0.887108509937395,0.820143884892086,0.983286908077994,"Consistent_3_of_3",1,0.216,0.892,1,TRUE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"OXPHOS_Pathway_Supported","Standard_candidate","Mitochondrial_OXPHOS","Standard",TRUE
36,"UQCR10",0.68245030629408,"Tier_2_Strong_Robust_Candidate",0.685026324311889,0.685026324311889,0.837010594495108,0.837010594495108,0.964,0.776,0.188,0.964983052408682,0.936842105263158,0.983286908077994,"Consistent_3_of_3",1,0.188,0.964,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"OXPHOS_Pathway_Supported","Standard_candidate","Mitochondrial_OXPHOS","Standard",TRUE
37,"ATP5F1B",0.679362492992467,"Tier_2_Strong_Robust_Candidate",0.694559422061715,0.694559422061715,0.966075376493722,0.966075376493722,0.896,0.673,0.223,0.888597545947995,0.802158273381295,0.96100278551532,"Consistent_3_of_3",1,0.223,0.896,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"OXPHOS_Pathway_Supported","Standard_candidate","Mitochondrial_OXPHOS","Standard",TRUE
39,"CYC1",0.678760804154267,"Tier_2_Strong_Robust_Candidate",0.699357163119656,0.699357163119656,1.01405730495725,1.01405730495725,0.849,0.585,0.264,0.83788165479931,0.712230215827338,0.930362116991644,"Consistent_3_of_3",1,0.264,0.849,1,TRUE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"OXPHOS_Pathway_Supported","Standard_candidate","Mitochondrial_OXPHOS","Standard",TRUE
40,"NDUFB5",0.678153746151341,"Tier_2_Strong_Robust_Candidate",0.70713435500549,0.70713435500549,1.09387484004392,1.09387484004392,0.784,0.466,0.318,0.770065536780369,0.615107913669065,0.863509749303621,"Consistent_3_of_3",1,0.318,0.784,1,TRUE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"OXPHOS_Pathway_Supported","Standard_candidate","Mitochondrial_OXPHOS","Standard",TRUE
41,"IDH2",0.677867804054534,"Tier_2_Strong_Robust_Candidate",0.670927365297269,0.670927365297269,0.660218922378154,0.660218922378154,0.908,0.624,0.284,0.901316097100329,0.838129496402878,0.960526315789474,"Consistent_3_of_3",1,0.284,0.908,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"OXPHOS_Pathway_Supported","Standard_candidate","Mitochondrial_OXPHOS","Standard",TRUE
45,"UQCRH",0.675785282088052,"Tier_2_Strong_Robust_Candidate",0.679926562090905,0.679926562090905,0.841012496727239,0.841012496727239,0.971,0.818,0.153,0.970596605840969,0.956834532374101,0.994428969359331,"Consistent_3_of_3",1,0.153,0.971,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"OXPHOS_Pathway_Supported","Standard_candidate","Mitochondrial_OXPHOS","Standard",TRUE
49,"NDUFA1",0.675077224677425,"Tier_2_Strong_Robust_Candidate",0.67348070392601,0.67348070392601,0.735045631408079,0.735045631408079,0.926,0.694,0.232,0.926038345397571,0.902631578947368,0.958217270194986,"Consistent_3_of_3",1,0.232,0.926,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"OXPHOS_Pathway_Supported","Standard_candidate","Mitochondrial_OXPHOS","Standard",TRUE
