"integrated_rank","gene","final_integrated_score","final_tier","adjusted_biomarker_score","biomarker_score","avg_log2FC","absolute_log2FC","pct.1","pct.2","prevalence_difference","mean_sample_prevalence","minimum_sample_prevalence","maximum_sample_prevalence","consistency_category","sample_consistency_score","specificity_score","prevalence_score","significance_score","high_priority","robust_3sample","final_biological_category","biological_class","GO_BP_support","GO_CC_support","GO_MF_support","KEGG_support","pathway_support","epithelial_relevance","proliferation_relevance","mitochondrial_relevance","stress_relevance","metabolic_flag","biological_review_flag","strong_candidate","strong_3sample","review_category","final_review_status","pathway_support_score","biological_relevance_score","consistency_penalty","review_penalty","final_biological_score","tumor_priority_score","OXPHOS_priority_score","final_panel_rank"
448,"MSI2",0.518629552722721,"Tier_3_Exploratory_Robust",0.556906990016161,0.556906990016161,0.563244861326467,0.563244861326467,0.575,0.389,0.186,0.596218407183065,0.420612813370474,0.841726618705036,"Consistent_3_of_3",1,0.186,0.575,0.895342549002348,FALSE,TRUE,"Other_Candidate","Other_Candidate",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",3,0.431381398003232,0,0,0.431381398003232,0.597117446505656,0.7263734793552,186
458,"ETHE1",0.513265663381129,"Tier_3_Exploratory_Robust",0.552171608314811,0.552171608314811,0.581593275009395,0.581593275009395,0.559,0.37,0.189,0.535753089362552,0.316546762589928,0.792105263157895,"Consistent_3_of_3",1,0.189,0.559,0.865816326257575,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",3,0.430434321662962,0,0,0.430434321662962,0.592860062910184,0.717323931433079,187
595,"MRPL35",0.458515619279546,"Tier_4_Exploratory",0.550178743266385,0.550178743266385,0.844629946131082,0.844629946131082,0.311,0.149,0.162,0.311430456865998,0.303621169916435,0.320143884892086,"Consistent_3_of_3",1,0.162,0.311,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",3,0.430035748653277,0,0,0.430035748653277,0.537162560143235,0.687253622979916,188
504,"ETFRF1",0.497400572000327,"Tier_4_Exploratory",0.548158698118285,0.548158698118285,0.615669584946277,0.615669584946277,0.412,0.218,0.194,0.398954790133587,0.266187050359712,0.518421052631579,"Consistent_3_of_3",1,0.194,0.412,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Mitochondrial_OXPHOS","Standard",3,0.429631739623657,0,0,0.429631739623657,0.5630555443414,0.706847609435486,189
170,"GGA2",0.620995233064668,"Tier_3_Exploratory_Robust",0.744528944693239,0.744528944693239,1.89863155754591,1.89863155754591,0.476,0.166,0.31,0.477452496293538,0.281578947368421,0.704735376044568,"Consistent_3_of_3",1,0.31,0.476,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.428905788938648,0,0,0.428905788938648,0.667785130642634,0.758558683407972,190
16,"NUCB2",0.705137011028754,"Tier_2_Strong_Robust_Candidate",0.740437898015671,0.740437898015671,1.16990318412537,1.16990318412537,0.899,0.577,0.322,0.907568687756143,0.807894736842105,0.992805755395683,"Consistent_3_of_3",1,0.322,0.899,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.428087579603134,0,0,0.428087579603134,0.753353264305485,0.841931369404701,191
556,"B3GAT3",0.478325689238666,"Tier_4_Exploratory",0.539236667893142,0.539236667893142,0.602139863679465,0.602139863679465,0.423,0.238,0.185,0.414397173069344,0.330935251798561,0.5,"Consistent_3_of_3",1,0.185,0.423,0.949127899554729,FALSE,TRUE,"Other_Candidate","Other_Candidate",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",3,0.427847333578628,0,0,0.427847333578628,0.5603328337626,0.698740185301152,192
19,"HERPUD1",0.701973568631143,"Tier_2_Strong_Robust_Candidate",0.736065650581529,0.736065650581529,1.11092520465223,1.11092520465223,0.839,0.442,0.397,0.840924644831855,0.785515320334262,0.87410071942446,"Consistent_3_of_3",1,0.397,0.839,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.427213130116306,0,0,0.427213130116306,0.754822977703535,0.828619695174459,193
561,"PTGES2",0.472297664251001,"Tier_4_Exploratory",0.534113353158865,0.534113353158865,0.615614658636414,0.615614658636414,0.41,0.229,0.181,0.400502943195949,0.284172661870504,0.504178272980501,"Consistent_3_of_3",1,0.181,0.41,0.926410138862089,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",3,0.426822670631773,0,0,0.426822670631773,0.555139673605603,0.691195526776973,194
493,"HADHB",0.502726709049197,"Tier_3_Exploratory_Robust",0.532354348513071,0.532354348513071,0.670063636324208,0.670063636324208,0.576,0.407,0.169,0.564449434441598,0.402877697841727,0.779944289693593,"Consistent_3_of_3",1,0.169,0.576,0.663975959816964,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",3,0.426470869702614,0,0,0.426470869702614,0.585324021979575,0.684502698526466,195
